hindi,english,freq
मूर्तिपूजक,idol worshiper,70
अनाथों,orphans,70
बनवासी,forest dweller,70
पेजों,pages,70
बुद्धिमानी,intelligence,70
ढकेल,pusher,70
हेडर,header,70
बोलिन,boleyn,70
हस्तियां,celebrities,70
आले,niche,70
प्राइमटाइम,primetime,70
किर्बी,kirby,70
हममें,in us,70
महारावल,maharawal,70
नंदाजी,nandaji,70
देशकाल,time and place,70
भारशिव,bharshiv,70
कुंदुज़,kunduz,70
पंखा,fan,70
उत्तोलन,leverage,70
ऐंग्लिकन,anglican,70
ग्लोबिन,globin,70
सूर्यनारायण,suryanarayana,70
मग,mug,70
इंग्लेंड,england,70
गुरूवार,thursday,70
महादेवन,mahadevan,70
ख़ोतान,khotan,70
हिप्पियों,hippies,70
शालीन,decent,70
अप्पा,appa,70
कर्नूल,kurnool,70
वैक्युम,vacuum,70
डायरिया,diarrhea,70
बिरजू,birju,70
गॉट,got,70
व्यक्तिविशेष,individual,70
दुगनी,double,70
अट्ठकथाएँ,atthakatha,70
अश्क,tears,70
डोसा,dosa,70
मनमाना,arbitrary,70
जलना,burn,70
प्रतिशतता,percentage,70
ट्रिम,trim,70
ड्रैग,drag,70
प्रीपेड,prepaid,70
धुले,dhule,70
आसूचना,intelligence,70
छत्तीस,thirty six,70
बुढ़ापा,old age,70
पाखंड,hypocrisy,70
तुशिल्,tushil,70
प्रतिदर्श,sample,70
निकोटीन,nicotine,70
करोडों,crores,70
एक्सल,axel,70
छूना,touch,70
अवटुग्रंथि,thyroid gland,70
भेरी,bheri,70
ढंकी,covered,70
टूटते,breaking,70
लेखनों,writings,70
उज्बेकिस्तान,uzbekistan,70
एंट्री,entry,70
चामुण्डा,chamunda,70
व्यक्,person,70
शर्मिंदा,ashamed,70
स्पैम,spam,70
गर्जन,roar,70
फासीवाद,fascism,70
दर्शनशास्र,philosophy,70
राफ्टिंग,rafting,70
द्वैपायन,dwaipayana,70
तालेबान,taliban,70
नरहरि,narahari,70
डिस्चार्ज,discharge,70
उत्तरजीवी,survivor,70
बुढ़िया,old woman,70
मलमास,malmas,70
कोच्ची,kochi,70
शैलविज्ञान,petrology,70
क्षेत्रके,of area,70
सारंगी,sarangi,70
शाजापुर,shajapur,70
सिंग्युलेरिटी,singularity,70
फ़्राँस,france,70
तवांग,tawang,70
अर्न्स्ट,ernst,70
फील्ड्स,fields,70
रेव,rev,70
शोनेन,shōnen,70
विनोदी,amusing,70
अश्क़ाबाद,ashgabat,70
अलका,alka,70
जनकों,parents,70
आजमाया,tried,70
केना,kenna,70
जंगलो,jungle,70
पीएम,pm,70
रतनपुर,ratanpur,70
ऑरेकल,oracle,70
आइनस्टाइन,einstein,70
गुआरानी,guarani,70
दासत्व,slavery,70
कैल,cal,70
केलिफोर्निया,california,70
नरुका,naruka,70
वोडाफ़ोन,vodafone,70
मॅसिये,messiah,70
रिकार्डियन,ricardian,70
बिस्मिल्ला,bismillah,70
स्वयम,autogenous,70
कन,kan,70
लिटन,lytton,70
यासों,yason,70
अशौच,impurity,70
वरमाला,varmala,70
अस्ति,asti,70
कॉमंस,commons,70
लल्लू,lallu,70
परवीन,parveen,70
राष्ट्रगीत,national anthem,70
सैंटो,santo,70
मैग्वायर,maguire,70
हस्तरेखा,lines on the palm of the hand,70
स्तंभन,erection,70
स्काॅटिश,scottish,70
भाबर,bhabar,70
नेब्यल,nebyal,70
एसिटेट,acetate,70
सेराक्यूस,syracuse,70
माहम,maham,70
वैंकटेश्वर,venkateshwara,70
पस्ताफ़ारी,pastafarian,70
प्रीस्कूल,preschool,70
अजीतगढ़,ajitgarh,70
जान्सी,johnsy,70
योगेन्द्र,yogendra,69
फोल्डर,folder,69
अनिवार्यतः,necessarily,69
इच्छाएं,wishes,69
ओट,oats,69
फतवे,fatwas,69
स्विटज़रलैंड,switzerland,69
ज़ंग,rust,69
सत्यवादी,truthful,69
ऍल,l,69
थिंक,think,69
चंद्रभागा,chandrabhaga,69
टॉम्ब,tomb,69
संघर्षपूर्ण,conflicted,69
भनक,inkling,69
सॉलिड,solid,69
सड़,rot,69
संकटपूर्ण,critical,69
राशियां,zodiac signs,69
संतानोत्पत्ति,procreation,69
डीवीआई,dvi,69
निःसृत,emanated,69
पुरुषत्व,masculinity,69
भेड़ियों,wolves,69
काठमाण्डौ,kathmandu,69
मारकाट,carnage,69
देशके,country's,69
सलाखों,bars,69
चैव,chav,69
सहस्त्रों,thousands,69
सँभाल,take care,69
आयेंगे,will come,69
बैन,ban,69
बासनी,basni,69
उद्विकास,evolution,69
स्नेहन,lubrication,69
चालें,tricks,69
तेन,ten,69
युद्धकला,martial arts,69
गंगापुर,gangapur,69
ग्राफ्ट,graft,69
अटकल,divination,69
धर्मपरिवर्तन,religion change,69
डिविडेंड,dividend,69
शिष्या,disciple,69
पम्पों,pumps,69
थांट,thant,69
वियोजन,dissociation,69
अनैतिकता,immorality,69
उद्दीन,uddin,69
गॉस,gauss,69
विभाज्य,divisible,69
रुझानों,trends,69
कन्फ्यूशियस,confucius,69
ख़ेन्ती,khentii,69
डेसमंड,desmond,69
ब्रूक,brook,69
पनपता,flourishes,69
विजयश्री,vijayashree,69
उत्तरापथ,uttarapath,69
बैठाना,seating,69
बेडफ़र्डशायर,bedfordshire,69
डॉर्सेट,dorset,69
हरफ़र्डशायर,herefordshire,69
हर्टफ़र्डशायर,hertfordshire,69
कड़वाहट,bitterness,69
भेड़ें,sheep,69
चिन्तामणि,chintamani,69
लिंगराज,lingaraj,69
मैसेडोनिया,macedonia,69
रेडियोग्राफी,radiography,69
दहशत,terror,69
नक्काशियों,carvings,69
करत,doing,69
सेवानिवृति,retirement,69
मुसीबतों,troubles,69
चढाने,to offer,69
रामलाल,ram lal,69
मशीने,machines,69
कोसों,miles,69
जयमल,jaimal,69
अचालक,dielectric,69
कामवासना,eroticism,69
मस्कट,muscat,69
घुसे,entered,69
एनआरआई,nri,69
चन्द्रिका,chandrika,69
बदरपुर,badarpur,69
पतलून,trousers,69
सफेदी,whitewash,69
बासप्पा,basappa,69
एन्क्लेव,enclave,69
देहलवी,dehlvi,69
सचिवों,secretaries,69
केंद्रशासित,union territory,69
ओहदे,positions,69
ठहरें,stay,69
विन्यस्त,configured,69
पर्शियन,persian,69
फ़ेसबुक,facebook,69
फैसल,faisal,69
चिनगारी,spark,69
कल्पवृक्ष,kalpavriksha,69
तीर्थाटन,pilgrimage,69
रक्तस्त्राव,bleeding,69
वंशजो,descendants,69
यायावर,nomad,69
बल्ख़,balkh,69
लोकाचार,ethos,69
मेरूदंड,spinal cord,69
फंडों,funds,69
मध्यमवर्गीय,middle class,69
मॅजलॅनिक,magellanic,69
शरू,start,69
बार्नी,barney,69
गुणवान,virtuous,69
मन्मथनाथ,manmathnath,69
संतृप्ति,saturation,69
सूफियों,sufis,69
फ़ाउंडेशन,foundation,69
नायनमार,nayanars,69
संविधानिक,constitutional,69
चलनी,sieve,69
शम्सुद्दीन,shamsuddin,69
ड्रोसोफिला,drosophila,69
धीरेन्द्र,dhirendra,69
हमास,hamas,69
दिलवा,get it,69
टॉकीज,talkies,69
अपेक्षया,expectation,69
मूलमंत्र,basic mantra,69
सिद्धनाथ,siddhanath,69
हूबहू,exactly,69
वारसॉ,warsaw,69
कबीलाई,tribal,69
गोएकतुर्क,göktürks,69
श्रीसंत,sreesanth,69
कैमरन,cameron,69
माँगे,demand,69
कीटाणुशोधन,disinfection,69
सेक्सी,sexy,69
सिनसिनाटी,cincinnati,69
चेम्बरलिन,chamberlin,69
गज़,yards,69
टॉवर्स,towers,69
इजहार,expression,69
मालवाही,freighter,69
पस्त,battered,69
दुष्टता,wickedness,69
बाँधे,tie up,69
रुब,rube,69
कुरूप,ugly,69
घेरती,surrounds,69
प्राणु,germ,69
सूक्ष्मग्राही,sensitive,69
धमाकेदार,explosive,69
मैगनीशियम,magnesium,69
घई,ghai,69
बेंचमार्क,benchmark,69
जिस्से,from which,69
खंडकाव्य,epic,69
होवे,howe,69
वहनीय,affordable,69
हसनपुर,hasanpur,69
प्रशिद्ध,famous,69
घासें,grasses,69
क्राइसिस,crisis,69
अल्बर्टो,alberto,69
भागीरथ,bhagiratha,69
मंजिलें,floors,69
डिंगल,dingle,69
आत्माएँ,souls,69
मतगणना,counting of votes,69
प्रवर,pravara,69
चुकि,since,69
यक्तियों,entities,69
पावस,monsoon,69
बवेरिया,bavaria,69
संज्ञाएँ,nouns,69
संजू,sanju,69
ऐसीटोन,acetone,69
पैटी,patty,69
परबत,mountain,69
बढ़ायी,increased,69
चिल्का,chilka,69
ग्रेव्स,graves,69
सूचकों,indicators,69
लज्जित,ashamed,69
जमाई,son-in-law,69
नीलसन,nielsen,69
मंजूषा,manjusha,69
द्रुतगामी,fast moving,69
सीढियों,stairs,69
भूः,land,69
अमूर,amur,69
खरीददार,buyer,69
निमग्न,immersed,69
मुकुल,mukul,69
विच्छेदित,dissected,69
श्रेयस,shreyas,69
गाइ,guy,69
रुढ़िवादी,conservative,69
जोगिंदर,joginder,69
बीजगणितीय,algebraic,69
अठारहवें,eighteenth,69
स्वभावगत,natural,69
लोम,folliculitis,69
टूलबार,toolbar,69
नजीब,najeeb,69
कॉस्मेटिक,cosmetic,69
सुश्रुतसंहिता,sushruta samhita,69
हारमोनियम,harmonium,69
उलझाने,engaging,69
माण्डू,mandu,69
वर्धक,enhancer,69
अलार्मों,alarms,69
ख़रीदने,to buy,69
पुतलियों,pupils,69
पृथ्,earth,69
लोकायत,lokayata,69
यस,yes,69
बहुलकीकरण,polymerization,69
सिले,stitched,69
जेरुसलम,jerusalem,69
भाळू,bear,69
दरवेश,dervishes,69
घेरकर,surrounding,69
बैज,badge,69
समाशोधन,clearing,69
चग़ताई,chagatai,69
सिरपुर,sirpur,69
साखी,sakhi,69
वन्स,once,69
प्रविष्टियां,entries,69
नौगढ़,naugarh,69
स्त्रीकेसर,pistil,69
पहाडों,mountains,69
आंकडा,data,69
ग्वेन,gwen,69
क्लिंट,clint,69
एनआईटी,nit,69
गिल्ली,gilli,69
पुटी,cyst,69
होगया,done,69
नामग्याल,namgyal,69
कार्यशैली,working style,69
छापों,impressions,69
आउटसोर्स,outsource,69
रोविओ,rovio,69
पेंटागन,pentagon,69
बुकानन,buchanan,69
पैटरसन,patterson,69
खलील,khalil,69
ट्रांसलेशन,translation,69
बाँसुरी,flute,69
शूर,brave,69
राभा,rabha,69
डिबेंचर,debentures,69
चराने,grazing,69
बाँधी,tied,69
स्वप्रतिरक्षी,autoantibodies,69
भौमिक,geological,69
न्यायाधिकार,jurisdiction,69
समकोणिक,right angled,69
ईकामर्स,ecommerce,69
अर्धसूत्रण,meiosis,69
ग्रैन्डल,grendel,69
सत्राजित,satrajit,69
काॅब,cobb,69
जयति,jayati,69
साईनाथ,sainath,69
नाइटविश,nightwish,69
टीवर्ट,tvert,69
घोंसलों,nests,68
आइज़क,isaac,68
मुर्ति,idol,68
नाहरगढ़,nahargarh,68
आर्मेनियाई,armenian,68
लकीरें,lines,68
स्वयमेव,by itself,68
हुआंग,huang,68
ब्रेकर,breaker,68
पश्तूनों,pashtuns,68
मुंडारी,mundari,68
जंजीरा,janjira,68
लेबलिंग,labeling,68
हॉर्मोन,hormones,68
अंतर्ग्रहण,ingestion,68
चहल,chahal,68
सामन्ती,feudal,68
आलोचनाएं,criticisms,68
व्यभिचारी,adulterer,68
शिवलिंगों,shivlingas,68
उत्सर्ग,sacrifice,68
मानवरहित,unmanned,68
रेनबो,rainbow,68
विषुवतीय,equatorial,68
मुश्ताक,mushtaq,68
तापांतर,temperature difference,68
गॉव,village,68
भद्रा,bhadra,68
पन्नी,foil,68
आरी,saw,68
झण्डे,flags,68
लपटों,flames,68
नृप,king,68
रणमल,ranmal,68
आनन,anan,68
सड़ी,rotten,68
उंचे,high,68
महापर्व,grand festival,68
विट्ठलनाथ,vitthalnath,68
सोनिक,sonic,68
विलिंग्डन,willingdon,68
इस्का,iska,68
निवेदिता,nivedita,68
जलपोत,shipwreck,68
पोर,knuckles,68
डाइनिंग,dining,68
जनसभा,public meeting,68
गुणाढ्य,multiplication,68
उन्मुखीकरण,orientation,68
भारतरत्न,bharat ratna,68
ओम्नोगोवी,omnogovi,68
दुन्दगोवी,dundgovi,68
दिमाग़,brain,68
पाण्डुलिपियों,manuscripts,68
सुसीम,susim,68
जादूगरनी,sorceress,68
मार्किट,market,68
वरिकशायर,warwickshire,68
दुर्गापूजा,durga puja,68
अभिकल्पन,design,68
अनुरक्षित,maintained,68
नचिकेता,nachiketa,68
मुक्तस्रोत,open source,68
अपवाही,efferent,68
एंटेना,antennas,68
बोधन,awareness,68
मिठाइयाँ,sweets,68
इलेक्,elect,68
सहभागियों,participants,68
चरवाहा,shepherd,68
बंकिमचन्द्र,bankimchandra,68
स्वरयंत्र,larynx,68
आइरिस,iris,68
मूँगा,coral,68
फ्रिज,refrigerator,68
सुत,yarn,68
गांवो,villages,68
हिंगलाज,hinglaj,68
बहुसंख्य,majority,68
लवलीन,loveleen,68
दनप्पा,danappa,68
कोच्चेरील,kocheryl,68
पढना,read,68
लाएँ,bring,68
घरो,ghar,68
संधू,sandhu,68
एयरोसोल,aerosol,68
जानाजाता,known,68
अंगूठा,thumb,68
सृजनकर्ता,creator,68
नाज़ियों,nazis,68
सिखाए,teach,68
पुराणी,old,68
अवैज्ञानिक,unscientific,68
मोंटेनेग्रो,montenegro,68
सुशीला,sushila,68
जमुई,jamui,68
प्रथाएँ,customs,68
सिटि,city,68
अर्थशास्त्रीय,economic,68
पूजे,worshipped,68
शचीन्द्रनाथ,sachindranath,68
प्रतिलिपियाँ,copies,68
उत्तेजनाओं,stimuli,68
चम्बा,chamba,68
कुण्,kun,68
असंयुक्त,disjoint,68
पिकअप,pickup,68
बोरी,sack,68
सीवेज,sewage,68
सुखसागर,sukhsagar,68
गाविसएं,cows,68
लीमर,lemurs,68
घिसकर,by rubbing,68
परवेज,parvez,68
स्टोव,stove,68
पैरोकार,advocate,68
अंतर्भुक्त,underpaid,68
ईष्ट,ishta,68
भवननिर्माण,building construction,68
सीस्तान,seistan,68
मेंडल,mendel,68
डायरेक्टर्स,directors,68
परियों,fairies,68
चुंबकों,magnets,68
हड्डीदार,bony,68
पर्वतश्रेणियाँ,mountain ranges,68
गेलिक,gaelic,68
उपसमुच्चय,subset,68
सन्निवेश,insertion,68
राज्यीय,state,68
म्युनिसिपल,municipal,68
मोटरसाइकिलों,motorcycles,68
नोर्वे,norway,68
बफ़ैलो,buffalo,68
फ़ोर्श,forsch,68
स्मैट,smat,68
फ़ॉल्कटन,faulkton,68
फ़्लैण्ड्रोउ,flandreau,68
सॅल्बी,selby,68
पद्यबद्ध,in verse,68
आशातीत,hopeless,68
आएँ,come,68
वाईट,white,68
मांडले,mandalay,68
पिस्सू,fleas,68
घटनाक्रमों,events,68
सैरगाह,resort,68
स्पुतनिक,sputnik,68
इज्जत,respect,68
कलियाँ,buds,68
चैपमैन,chapman,68
व्यक्तिवाचक,proper noun,68
अमलेश्वर,amaleshwar,68
यावसायिक,professional,68
वुडलैंड्स,woodlands,68
स्पेक्ट्रोमीटर,spectrometer,68
सिन्ड्रोम,syndrome,68
हेन,hein,68
संवाददाताओं,correspondents,68
च्,ch,68
सौप,soup,68
इंटरनेटवर्किंग,internetworking,68
एसडी,sd,68
मजहब,religion,68
उक्तियों,sayings,68
तामीर,tamir,68
अब्बासियों,abbasids,68
रेंडी,randy,68
परमावश्यक,essential,68
स्टोरों,stores,68
फासिस्ट,fascist,68
चींटियों,ants,68
जंप,jump,68
फासले,distances,68
चन्द्रवंशी,chandravanshi,68
शूद्रों,shudras,68
अराजकतावाद,anarchism,68
हरिप्रसाद,hariprasad,68
गाथाएं,sagas,68
प्लेटफ़ॉर्म,platform,68
प्याज़,onion,68
आशंकाओं,apprehensions,68
प्रोड्यूसर,producer,68
एक्लिप्स,eclipse,68
पोलिस,police,68
श्रुतियों,shrutis,68
बाक्साइट,bauxite,68
बोझा,burden,68
महिपाल,mahipal,68
गुह्य,secret,68
कांत,kant,68
समंजन,adjustment,68
इरावदी,irrawaddy,68
भुवः,bhuvah,68
फ्लावर,flower,68
गोल्डमैन,goldman,68
फेंडर,fender,68
नाटिका,drama,68
नॉर्टन,norton,68
नामोनिशान,no trace,68
राॅयल,royal,68
कुमाउँनी,kumaoni,68
निशंक,nishank,68
वेगों,velocities,68
कौमारभृत्य,celibacy,68
ल्योन,lyon,68
मरणोपरान्त,posthumously,68
काणे,kane,68
सर्पिलाकार,spiral,68
काराकुम,karakum,68
रूची,interest,68
मत्स्यपुराण,matsya purana,68
राजजात,royal family,68
जलोदर,ascites,68
हुंकार,roar,68
लास्की,lasky,68
प्रकटन,appearance,68
अर्जेटीना,argentina,68
कर्नाट,karnataka,68
लाम,lam,68
लेप्टॉन,leptons,68
प्रज्वलन,ignition,68
आवृतबीजी,angiosperms,68
परभक्षियों,predators,68
लौटीं,returned,68
क्रांतियों,revolutions,68
प्रतिलिपियां,copies,68
हैंः,are:,68
बलयुग्म,pair of forces,68
कुदरत,nature,68
शिल्,shil,68
कुम्भकर्ण,kumbhakarna,68
कावी,kawi,68
डुबा,dipped,68
चरित्रहीन,characterless,68
जाँचने,to check,68
हर्स्ट,hearst,68
तितलियाँ,butterflies,68
परिसम्पत्ति,asset,68
चित्रांगद,chitrangada,68
चैनल्स,channels,68
श्रीहर्ष,shriharsha,68
लीनो,leno,68
काठमाण्डू,kathmandu,68
गलफड़,gills,68
झंग,jhang,68
महाश्वान,great dog,68
डॉम,dom,68
नातक,natak,68
तुंगुसी,tungusi,68
मेलानोमा,melanoma,68
आरक्ष,reserve,68
बहसों,debates,68
एर्डोगान,erdogan,68
वोज़नियाक,wozniak,68
समतापमंडल,stratosphere,68
जु,ju,68
ऑप्टिमस,optimus,68
प्रीमीयर,premiere,68
गंगाओं,gangas,68
टोटेम,totem,68
एमेक्स,amex,68
बियर्स,bears,68
रेसलमैनिया,wrestlemania,68
पीडीत,victim,68
ईसीएम,ecm,68
अप्रकट,unrevealed,67
दीर्घवृत्ताकार,elliptical,67
प्रादर्शी,display,67
अन्नप्राशन,annaprashan,67
झिरी,slit,67
निभानी,to fulfill,67
फटकार,rebuke,67
कैंपबेल,campbell,67
पिस्ता,pistachio,67
मनेर,maner,67
गुज़रकर,passing by,67
ओशिआनिया,oceania,67
मुलतान,multan,67
विकासक,developer,67
ख़िलाफ,against,67
रोश,roche,67
सम्पन्नता,prosperity,67
संज्ञात्मक,cognitive,67
फलीभूत,fruitful,67
फ़िल्मो,films,67
तर्कहीन,irrational,67
युगोस्लाविया,yugoslavia,67
बन्,ban,67
किताबे,books,67
समिती,committee,67
बेरा,bera,67
संस्थायें,institutions,67
उसमान,usman,67
गृहभूमि,homeland,67
फूटी,footy,67
घुमाता,rotates,67
अजर,ajar,67
लडकी,girl,67
तिरुनेलवेली,tirunelveli,67
किशनगंज,kishanganj,67
डाक्टरी,medical,67
संगरोध,quarantine,67
इन्टर,inter,67
रूपात्मक,morphological,67
रीगा,riga,67
भिड़,clash,67
वाशिंग,washing,67
फोरेस्ट,forest,67
केंद्रबिंदु,focal point,67
बास्केट,basket,67
अतरिक्त,additional,67
गूढ,mysterious,67
ख़ोव्स्गोल,khövsgöl,67
दोरनोगोवी,dornogovi,67
चुम्बन,kiss,67
हितैषी,well-wisher,67
भरतीय,indian,67
लेक्चर,lecture,67
भक्षी,predator,67
ऑक्सफ़र्डशायर,oxfordshire,67
अभिषिक्त,anointed one,67
निर्माणकार्य,construction work,67
स्वर्गवासी,deceased,67
चुकने,missed,67
कवयित्रियों,women poets,67
बालमणि,balamani,67
युगान्तर,yugantar,67
नवोन्मेष,innovation,67
वेंकटरमन,venkataraman,67
कोनी,connie,67
मुक्के,punches,67
ऑल्टो,alto,67
बहामास,bahamas,67
खिल्ली,mockery,67
भक्तिवेदांत,bhaktivedanta,67
बखरी,bakhri,67
साँगा,sanga,67
सेकेण्डरी,secondary,67
पाश्चर,pasteur,67
शांतिकाल,peacetime,67
नगरीकरण,urbanization,67
जामुनी,purple,67
किस्सों,stories,67
टाऊन,town,67
यथासमय,in due course,67
जोंक,leech,67
जिधर,wherever,67
साहिल,sahil,67
निशानेबाज,shooter,67
मिदनापुर,midnapore,67
मुकदमेबाजी,litigation,67
एन्जिल,angel,67
ट्रीटमेंट,treatment,67
ब्रह्मलीन,brahmaleen,67
कस्बो,town,67
स्पोर्टिंग,sporting,67
केवलज्ञान,kevaljnana,67
कसर,shortcoming,67
प्रोन्नत,promoted,67
मरुस्थलीकरण,desertification,67
जगाई,woke up,67
सीमांकन,demarcation,67
समरूपी,isomorphic,67
दोसा,dosa,67
उतकों,tissues,67
गैबॉन,gabon,67
साब,sir,67
बंधित,tied,67
भिगो,soaked,67
बंदा,guy,67
ज़कात,zakat,67
घग्घर,ghaggar,67
अप्सराएँ,nymphs,67
घनीभूत,condensate,67
खण्डकाव्य,epic poem,67
उपप्रधानमंत्री,deputy prime minister,67
प्रसंस्कृत,processed,67
हटती,retreating,67
उच्चवर्गीय,upper class,67
वदी,vadi,67
एलॅक्ज़ेण्ड्रिया,alexandria,67
ब्रिट्टन,britton,67
डॅडवुड,deadwood,67
पौइण्ट,point,67
गॅन्न,gann,67
गैटिज़बर्ग,gettysburg,67
हाइमोर,highmore,67
कैडोका,cadoca,67
कैनेबैक,kennebec,67
लेओला,leola,67
मैकिण्टोश,macintosh,67
मिट्शॅल,mitchell,67
मुर्डो,murdo,67
प्लैंकिण्टन,plankton,67
रॅडफ़ील्ड,radfield,67
सियुक,siuk,67
सिस्सेटन,sisseton,67
स्पियरफ़िश,spearfish,67
स्टुर्जिस,sturgis,67
वॉटरटाउन,watertown,67
वॅब्स्टर,webster,67
वॅसिंग्टन,washington,67
वूनसोकेट,woonsocket,67
बदमाश,rogue,67
वार्ताकारों,negotiators,67
खाओ,eat,67
आस्तिकता,theism,67
नवलगढ़,nawalgarh,67
गार्डस,guards,67
बरबस,barabbas,67
प्रत्यायित,accredited,67
केंब्रिज,cambridge,67
हैटन,hatton,67
उपार्जित,earned,67
मल्टीपल,multiple,67
बोलनेवाले,speakers,67
आभ्यंतर,interior,67
बदलें,change,67
हाइपरलिंक,hyperlink,67
मैसेज,message,67
चैक,cheque,67
संघात्मक,federal,67
चाहियें,should,67
मुश्किलें,difficulties,67
पढ़ाए,teach,67
रोगमुक्त,disease free,67
मुखों,mouths,67
रेलमंत्री,railway minister,67
सुविचारित,well thought out,67
बासी,stale,67
सुराणा,surana,67
हवेलियाँ,mansions,67
तराशने,carve,67
बीफ,beef,67
लालित्य,elegance,67
हितोपदेश,hitopadesha,67
हरगोविंद,hargovind,67
एक्स्ट्रा,extra,67
कमलेश,kamlesh,67
श्लेष्मिक,mucous,67
आज्ञाकारिता,obedience,67
सैम्युअल,samuel,67
हैमर,hammer,67
जमना,solidify,67
शौक़,hobby,67
सच्चिदानन्द,sachchidananda,67
हेलेनिस्टिक,hellenistic,67
उपेन्द्र,upendra,67
आस्टिन,austin,67
सुदृढ,strong,67
यूरेशियन,eurasian,67
रखैल,mistress,67
इन्तजार,waiting,67
उपयोगितावादी,utilitarian,67
त्री,three,67
दिखीं,seen,67
प्रियदर्शन,priyadarshan,67
ऑर्टन,orton,67
कार्ड्स,cards,67
बुवाई,sowing,67
रूपाकार,shape,67
युएझ़ी,yuezhi,67
टैलेंट,talent,67
सर्वनाश,apocalypse,67
स्थविर,sthavira,67
पंडवानी,pandavani,67
इनसाइक्लोपीडिया,encyclopedia,67
माधवाचार्य,madhvacharya,67
प्रोग्राम्स,programs,67
पील,peel,67
स्टोन्स,stones,67
उपबंधों,provisions,67
कुरैजा,qurayza,67
कर्नाड,karnad,67
हमाम,hamam,67
कंसल्टेंसी,consultancy,67
क्षेत्ररक्षक,fielder,67
सैटलाइट,satellite,67
ऐल्किल,alkyl,67
अवकरण,reduction,67
सिंडीकेट,syndicate,67
कृष्णदेव,krishnadev,67
मेगाबाइट,megabyte,67
कैनिंग,canning,67
वादकों,instrumentalists,67
होम्योपैथिक,homeopathic,67
रूढ़िवाद,conservatism,67
लंच,lunch,67
कोरियोग्राफी,choreography,67
कमोडिटी,commodity,67
जिमनास्टिक्स,gymnastics,67
माइन,mine,67
लीए,lea,67
ऊष्मप्रवैगिकी,thermodynamics,67
रंगमंचीय,theatrical,67
मर्दाना,masculine,67
काशीबाई,kashibai,67
फ्रेडी,freddy,67
सबब,reason,67
पलुस्कर,paluskar,67
एरी,erie,67
कंदरिया,kandaria,67
गरूड़,garuda,67
रियाज,riaz,67
फ्लोटिंग,floating,67
सिधांत,principle,67
सारणिक,determinant,67
गतियाँ,movements,67
गोगाजी,gogaji,67
माकपा,cpi(m),67
वेक्सीन,vaccine,67
ज़ीरो,zero,67
ग्वेरा,guevara,67
दामन,hem,67
जूँ,lice,67
अक्षरा,akshara,67
श्रीगुप्त,shrigupta,67
अरबिया,arabia,67
लागि,cost,67
मोगली,mogli,67
लेंथ,length,67
बौक्साइट,bauxite,67
कैल्टन,calton,67
ऑक्सीटॉसिन,oxytocin,67
एशर,esher,67
उबन्तू,ubuntu,67
मुक्केबाज़ों,boxers,67
रोलेक्स,rolex,67
बेख़म,beckham,67
हुडीनी,houdini,67
बारंबारता,frequency,66
स्टैण्ड,stand,66
ग्रामवासियों,villagers,66
ट्रैप,trap,66
पंक्तिबद्ध,lined up,66
ठप्पे,stamps,66
प्रवृतियों,tendencies,66
विश्रुत,rested,66
सारंग,sarang,66
गोल्डस्मिथ,goldsmith,66
पड़ावों,stops,66
सोलन,solan,66
प्रतिकर्षण,repulsion,66
रोडवेज,roadways,66
अनुमती,permission,66
वनस्पतिशास्त्री,botanist,66
बेसेमर,bessemer,66
आयनन,ionization,66
संयत्र,plant,66
एल्युमिनियम,aluminum,66
लक्की,lucky,66
आवर्तक,recurrent,66
आर्ची,archie,66
महँगा,expensive,66
संहिताबद्ध,codified,66
सुल्तानपुरी,sultanpuri,66
राजेन्द्रनाथ,rajendranath,66
महिलाओ,women,66
चकिया,chakia,66
राष्टीय,national,66
बसीं,settled,66
विकेन्द्रता,eccentricity,66
रसराज,rasraj,66
पूर्वानुराग,predilection,66
मूलनिवासी,native,66
पिल्ला,puppy,66
रात्रिकालीन,nocturnal,66
भरवां,stuffed,66
आसुरी,demoniac,66
थलों,places,66
महफिल,gathering,66
जुझारू,belligerent,66
स्टूडेंट्स,students,66
जोया,zoya,66
तर्गत,under,66
सगी,sister-in-law,66
संचालनों,operations,66
प्रतिकण,antimatter,66
परावर्ती,reflective,66
अपवर्जन,exclusion,66
इंस्टेंट,instant,66
सुख़बातर,sukhbaatar,66
तस्कर,smuggler,66
दृश्यात्मक,visual,66
आईजीएन,ign,66
इथियोपियाई,ethiopian,66
डेमी,demi,66
आवे,come,66
नागपुरी,nagpuri,66
केंटन,canton,66
फारवर्ड,forward,66
धर्मावलम्बी,religious follower,66
ख्,kh,66
चर्मपत्र,parchment,66
वाल्वों,valves,66
आसनों,rugs,66
अधिकरणों,tribunals,66
नवाबी,nawabi,66
लीडरशिप,leadership,66
डाउंस,downs,66
साउथबरो,southborough,66
स्माल,small,66
उपनेता,deputy leader,66
ख़बरों,news,66
जोशुआ,joshua,66
किराना,grocery,66
रगड़ते,rubbing,66
कोलमैन,coleman,66
कृपालु,merciful,66
वाय,y,66
मेलिंग,mailing,66
फैट,fat,66
केन्द्रशासित,centrally administered,66
बुनना,knitting,66
डरकर,in fear,66
प्रसारणों,broadcasts,66
ज़मीदार,landlord,66
नेत्रत्व,leadership,66
अंतर्वेशन,interpolation,66
बहुजातीय,multiracial,66
लक्ष्यीकरण,targeting,66
कुंआ,well,66
प्राक्,prak,66
जीवनभर,lifelong,66
उगाही,collection,66
